,emotion,quotes
103,love,"If you remember me, then I don't care if everyone else forgets."
104,love,"To douchebags!"" he said, gesturing to Brad. ""And to girls that break your heart,"" he bowed his head to me. His eyes lost focus. ""And to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her."
105,love,"Man may have discovered fire, but women discovered how to play with it."
106,love,"What I want is to be needed. What I need is to be indispensable to somebody. Who I need is somebody that will eat up all my free time, my ego, my attention. Somebody addicted to me. A mutual addiction."
107,love,"Love doesn't just sit there, like a stone, it has to be made, like bread; remade all the time, made new."
108,love,"What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again."
109,love,"My daddy said, that the first time you fall in love, it changes you forever and no matter how hard you try, that feeling just never goes away."
110,love,"I cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. It is too long ago. I was in the middle before I knew that I had begun."
111,love,"It hurts to let go. Sometimes it seems the harder you try to hold on to something or someone the more it wants to get away. You feel like some kind of criminal for having felt, for having wanted. For having wanted to be wanted. It confuses you, because you think that your feelings were wrong and it makes you feel so small because it's so hard to keep it inside when you let it out and it doesn't coma back. You're left so alone that you can't explain. Damn, there's nothing like that, is there? I've been there and you have too. You're nodding your head."
112,love,"Love does not consist of gazing at each other, but in looking outward together in the same direction."
113,love,"And, in the endThe love you takeis equal to the love you make."
114,love,"I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt."
115,love,"If he’s not calling you, it’s because you are not on his mind. If he creates expectations for you, and then doesn’t follow through on little things, he will do same for big things. Be aware of this and realize that he’s okay with disappointing you. Don’t be with someone who doesn’t do what they say they’re going to do. If he’s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesn’t respect your feelings and needs. “Busy” is another word for “asshole.” “Asshole” is another word for the guy you’re dating. You deserve a fcking phone call."
116,love,"It was love at first sight, at last sight, at ever and ever sight."
117,love,"If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were."
118,love,"I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?"
119,love,"Love is a fire. But whether it is going to warm your hearth or burn down your house, you can never tell."
120,love,"We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.”I will find that special person who is wrong for me in just the right way."
121,love,"And now these three remain: faith, hope and love. But the greatest of these is love."
122,love,"My dear,Find what you love and let it kill you.Let it drain you of your all. Let it cling onto your back and weigh you down into eventual nothingness.Let it kill you and let it devour your remains.For all things will kill you, both slowly and fastly, but it’s much better to be killed by a lover.~ Falsely yours"
123,love,"You are the answer to every prayer I've offered. You are a song, a dream, a whisper, and I don't know how I could have lived without you for as long as I have."
124,love,"I have something I need to tell you,"" he says. I run my fingers along the tendons in his hands and look back at him. ""I might be in love with you."" He smiles a little. ""I'm waiting until I'm sure to tell you, though.""""That's sensible of you,"" I say, smiling too. ""We should find some paper so you can make a list or a chart or something.""I feel his laughter against my side, his nose sliding along my jaw, his lips pressing my ear.""Maybe I'm already sure,"" he says, ""and I just don't want to frighten you.""I laugh a little. ""Then you should know better.""""Fine,"" he says. ""Then I love you."
125,love,"If pain must come, may it come quickly. Because I have a life to live, and I need to live it in the best way possible. If he has to make a choice, may he make it now. Then I will either wait for him or forget him."
126,love,"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate."
127,love,"I can feel Peeta press his forehead into my temple and he asks, 'So now that you've got me, what are you going to do with me?' I turn into him. 'Put you somewhere you can't get hurt."
128,love,"Let there be spaces in your togetherness, And let the winds of the heavens dance between you. Love one another but make not a bond of love: Let it rather be a moving sea between the shores of your souls. Fill each other's cup but drink not from one cup. Give one another of your bread but eat not from the same loaf. Sing and dance together and be joyous, but let each one of you be alone, Even as the strings of a lute are alone though they quiver with the same music. Give your hearts, but not into each other's keeping. For only the hand of Life can contain your hearts. And stand together, yet not too near together: For the pillars of the temple stand apart, And the oak tree and the cypress grow not in each other's shadow."
129,love,Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.
130,love,Be careful of love. It'll twist your brain around and leave you thinking up is down and right is wrong.
131,love,How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.
132,love,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up."
133,love,"It is good to love many things, for therein lies the true strength, and whosoever loves much performs much, and can accomplish much, and what is done in love is well done."
134,love,When love is not madness it is not love.
135,love,"If you like her, if she makes you happy, and if you feel like you know her---then don't let her go."
136,love,"I think... if it is true that there are as many minds as there are heads, then there are as many kinds of love as there are hearts."
137,love,"Well, it seems to me that the best relationships - the ones that last - are frequently the ones that are rooted in friendship. You know, one day you look at the person and you see something more than you did the night before. Like a switch has been flicked somewhere. And the person who was just a friend is... suddenly the only person you can ever imagine yourself with."
138,love,Declarations of love amuse me. Especially when unrequited.
139,love,"True love is rare, and it's the only thing that gives life real meaning."
140,love,I love you more than there are stars in the sky and fish in the sea.
141,love,A woman's heart should be so hidden in God that a man has to seek Him just to find her.
142,love,"What's this?"" he demanded, looking from Clary to his companions, as if they might know what she was doing there.""It's a girl,"" Jace said,recovering his composure. ""Surely you've seen girls before, Alec. Your sister Isabelle is one."
143,love,"Do you think I'm pretty?I think you're beautifulBeautiful?You are so beautiful, it hurts sometimes."
144,love,"The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too."
145,love,I love you. Remember. They cannot take it
146,love,"I loved her against reason, against promise, against peace, against hope, against happiness, against all discouragement that could be."
147,love,"I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything."
148,love,Love is an irresistible desire to be irresistibly desired.
149,love,أجمل حب هو الذي نعثر عليه أثناء بحثنا عن شيء آخر
150,love,"If I can stop one heart from breaking, I shall not live in vain."
151,love,"It is a curious thought, but it is only when you see people looking ridiculous that you realize just how much you love them. "
152,love,"Of all forms of caution, caution in love is perhaps the most fatal to true happiness."
153,love,"I fell in love with her courage, her sincerity, and her flaming self respect. And it's these things I'd believe in, even if the whole world indulged in wild suspicions that she wasn't all she should be. I love her and it is the beginning of everything."
154,love,"When the power of love overcomes the love of power, the world will know peace."
155,love,What is hell? I maintain that it is the suffering of being unable to love.
156,love,All I ever wanted was to reach out and touch another human being not just with my hands but with my heart.
157,love,"Hate the sin, love the sinner."
158,love,Find what you love and let it kill you.
159,love,"Well, nowIf little by little you stop loving meI shall stop loving youLittle by littleIf suddenly you forget meDo not look for meFor I shall already have forgotten youIf you think it long and mad the wind of banners that passes through my lifeAnd you decide to leave me at the shore of the heart where I have rootsRememberThat on that day, at that hour, I shall lift my armsAnd my roots will set off to seek another land"
160,love,"What Is Love? I have met in the streets a very poor young man who was in love. His hat was old, his coat worn, the water passed through his shoes and the stars through his soul"
161,love,"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved."
162,love,The man of knowledge must be able not only to love his enemies but also to hate his friends.
163,love,"There was a clatter as the basilisk fangs cascaded out of Hermione's arms. Running at Ron, she flung them around his neck and kissed him full on the mouth. Ron threw away the fangs and broomstick he was holding and responded with such enthusiasm that he lifted Hermione off her feet. ""Is this the moment?"" Harry asked weakly, and when nothing happened except that Ron and Hermione gripped each other still more firmly and swayed on the spot, he raised his voice. ""OI! There's a war going on here!"" Ron and Hermione broke apart, their arms still around each other. ""I know, mate,"" said Ron, who looked as though he had recently been hit on the back of the head with a Bludger, ""so it's now or never, isn't it?"" ""Never mind that, what about the Horcrux?"" Harry shouted. ""D'you think you could just --- just hold it in, until we've got the diadem?"" ""Yeah --- right --- sorry ---"" said Ron, and he and Hermione set about gathering up fangs, both pink in the face."
164,love,It is the time you have wasted for your rose that makes your rose so important.
165,love,"The greater the love, the greater the tragedy when it's over."
166,love,"One love, one heart, one destiny."
167,love,"If you gave someone your heart and they died, did they take it with them? Did you spend the rest of forever with a hole inside you that couldn't be filled?"
168,love,"If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy. ... Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for."
169,love,Never close your lips to those whom you have already opened your heart.
170,love,"It isn't possible to love and part. You will wish that it was. You can transmute love, ignore it, muddle it, but you can never pull it out of you. I know by experience that the poets are right: love is eternal."
171,love,"Things we lose have a way of coming back to us in the end, if not always in the way we expect."
172,love,Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.
173,love,"It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful."
174,love,"One cannot think well, love well, sleep well, if one has not dined well."
175,love,Have enough courage to trust love one more time and always one more time.
176,love,"They say when you are missing someone that they are probably feeling the same, but I don't think it's possible for you to miss me as much as I'm missing you right now"
177,love,I wantTo do with you what spring does with the cherry trees.
178,love,"You know, when it works, love is pretty amazing. It's not overrated. There's a reason for all those songs."
179,love,Gravitation is not responsible for people falling in love.
180,love,"Even if you cannot change all the people around you, you can change the people you choose to be around. Life is too short to waste your time on people who don’t respect, appreciate, and value you. Spend your life with people who make you smile, laugh, and feel loved."
181,love,"Love is not affectionate feeling, but a steady wish for the loved person's ultimate good as far as it can be obtained."
182,love,"We waste time looking for the perfect lover, instead of creating the perfect love."
183,love,I would like to be the air that inhabits you for a moment only. I would like to be that unnoticed and that necessary.
184,love,Top 15 Things Money Can’t BuyTime. Happiness. Inner Peace. Integrity. Love. Character. Manners. Health. Respect. Morals. Trust. Patience. Class. Common sense. Dignity.
185,love,As if you were on fire from within.The moon lives in the lining of your skin.
186,love,"To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death."
187,love,"He does something to me, that boy. Every time. It’s his only detriment. He steps on my heart. He makes me cry."
188,love,I love you like a fat kid loves cake!
189,love,"We are all alone, born alone, die alone, and—in spite of True Romance magazines—we shall all someday look back on our lives and see that, in spite of our company, we were alone the whole way. I do not say lonely—at least, not all the time—but essentially, and finally, alone. This is what makes your self-respect so important, and I don't see how you can respect yourself if you must look in the hearts and minds of others for your happiness."
190,love,"It’s probably not just by chance that I’m alone. It would be very hard for a man to live with me, unless he’s terribly strong. And if he’s stronger than I, I’m the one who can’t live with him. … I’m neither smart nor stupid, but I don’t think I’m a run-of-the-mill person. I’ve been in business without being a businesswoman, I’ve loved without being a woman made only for love. The two men I’ve loved, I think, will remember me, on earth or in heaven, because men always remember a woman who caused them concern and uneasiness. I’ve done my best, in regard to people and to life, without precepts, but with a taste for justice."
191,love,"And when her lips met mine, I knew that I could live to be a hundred and visit every country in the world, but nothing would ever compare to that single moment when I first kissed the girl of my dreams and knew that my love would last forever."
192,love,"Welcome to the wonderful world of jealousy, he thought. For the price of admission, you get a splitting headache, a nearly irresistable urge to commit murder, and an inferiority complex. Yippee."
193,love,"Tonight I can write the saddest linesI loved her, and sometimes she loved me too."
194,love,"Someone I loved once gave me a box full of darkness. It took me years to understand that this too, was a gift."
195,love,Look after my heart - I've left it with you.
